,wave,start,end,syll
255,105_marron1_May_25_2016_22873855.wav,0.0,1.076,SIL
256,105_marron1_May_25_2016_22873855.wav,1.076,1.474,call
257,105_marron1_May_25_2016_22873855.wav,1.474,3.47,SIL
258,105_marron1_May_25_2016_22873855.wav,3.47,4.17,Z
259,105_marron1_May_25_2016_22873855.wav,4.17,4.265,SIL
260,105_marron1_May_25_2016_22873855.wav,4.265,4.475,Ci
261,105_marron1_May_25_2016_22873855.wav,4.475,4.5046712018,SIL
262,105_marron1_May_25_2016_22873855.wav,4.5046712018,5.768,C
263,105_marron1_May_25_2016_22873855.wav,5.768,5.953,H
264,105_marron1_May_25_2016_22873855.wav,5.953,6.861,E
265,105_marron1_May_25_2016_22873855.wav,6.861,7.741,R
266,105_marron1_May_25_2016_22873855.wav,7.741,7.892,SIL
267,105_marron1_May_25_2016_22873855.wav,7.892,8.907,J1
268,105_marron1_May_25_2016_22873855.wav,8.907,9.075,SIL
269,105_marron1_May_25_2016_22873855.wav,9.075,10.039,B1
270,105_marron1_May_25_2016_22873855.wav,10.039,10.913253301,B2
271,105_marron1_May_25_2016_22873855.wav,10.913,11.771,R
272,105_marron1_May_25_2016_22873855.wav,11.771,11.872,SIL
273,105_marron1_May_25_2016_22873855.wav,11.872,11.939,J1
274,105_marron1_May_25_2016_22873855.wav,11.939,12.6675260771,J1
275,105_marron1_May_25_2016_22873855.wav,12.665,12.723,J2
276,105_marron1_May_25_2016_22873855.wav,12.723,12.841,SIL
277,105_marron1_May_25_2016_22873855.wav,12.841,13.643,B1
278,105_marron1_May_25_2016_22873855.wav,13.643,14.596,B2
279,105_marron1_May_25_2016_22873855.wav,14.596,15.5167346939,Q
280,105_marron1_May_25_2016_22873855.wav,15.5167346939,15.521,SIL
281,105_marron1_May_25_2016_22873855.wav,15.521,15.812,H
282,105_marron1_May_25_2016_22873855.wav,15.812,16.902,E
283,105_marron1_May_25_2016_22873855.wav,16.902,16.922,SIL
284,105_marron1_May_25_2016_22873855.wav,16.922,17.813,R
285,105_marron1_May_25_2016_22873855.wav,17.813,17.914,SIL
286,105_marron1_May_25_2016_22873855.wav,17.914,17.965,J1
287,105_marron1_May_25_2016_22873855.wav,17.965,18.945,J2
