,wave,start,end,syll
125,102_marron1_May_24_2016_69341205.wav,0.0,0.829,SIL
126,102_marron1_May_24_2016_69341205.wav,0.829,1.185,call
127,102_marron1_May_24_2016_69341205.wav,1.185,2.006,SIL
128,102_marron1_May_24_2016_69341205.wav,2.006,3.017,Z
129,102_marron1_May_24_2016_69341205.wav,3.017,3.101,SIL
130,102_marron1_May_24_2016_69341205.wav,3.101,3.376,T
131,102_marron1_May_24_2016_69341205.wav,3.376,3.611,SIL
132,102_marron1_May_24_2016_69341205.wav,3.611,4.67,U
133,102_marron1_May_24_2016_69341205.wav,4.67,4.908,SIL
134,102_marron1_May_24_2016_69341205.wav,4.908,6.614,V
135,102_marron1_May_24_2016_69341205.wav,6.614,6.687,SIL
136,102_marron1_May_24_2016_69341205.wav,6.687,7.796,O
137,102_marron1_May_24_2016_69341205.wav,7.796,7.922,SIL
138,102_marron1_May_24_2016_69341205.wav,7.922,9.186,J1
139,102_marron1_May_24_2016_69341205.wav,9.186,9.9140309782,J2
140,102_marron1_May_24_2016_69341205.wav,9.9114692001,10.0176814857,J2
141,102_marron1_May_24_2016_69341205.wav,10.0176814857,10.051,SIL
142,102_marron1_May_24_2016_69341205.wav,10.051,11.956,N
143,102_marron1_May_24_2016_69341205.wav,11.956,12.077,SIL
144,102_marron1_May_24_2016_69341205.wav,12.077,13.189,A
145,102_marron1_May_24_2016_69341205.wav,13.189,13.253,A
146,102_marron1_May_24_2016_69341205.wav,13.253,14.161,X
147,102_marron1_May_24_2016_69341205.wav,14.161,14.2,SIL
148,102_marron1_May_24_2016_69341205.wav,14.2,15.7548771464,N
149,102_marron1_May_24_2016_69341205.wav,15.749,15.926,S
150,102_marron1_May_24_2016_69341205.wav,15.926,15.945,SIL
151,102_marron1_May_24_2016_69341205.wav,15.945,17.492,M
152,102_marron1_May_24_2016_69341205.wav,17.492,19.425,D
153,102_marron1_May_24_2016_69341205.wav,19.425,19.475,SIL
154,102_marron1_May_24_2016_69341205.wav,19.475,19.638,I
155,102_marron1_May_24_2016_69341205.wav,19.638,19.743979524,SIL
156,102_marron1_May_24_2016_69341205.wav,19.743979524,20.929,A
157,102_marron1_May_24_2016_69341205.wav,20.929,20.988,A
158,102_marron1_May_24_2016_69341205.wav,20.988,21.024,SIL
159,102_marron1_May_24_2016_69341205.wav,21.024,21.206,O
160,102_marron1_May_24_2016_69341205.wav,21.206,21.282,SIL
161,102_marron1_May_24_2016_69341205.wav,21.282,21.601,P
162,102_marron1_May_24_2016_69341205.wav,21.601,21.688,SIL
163,102_marron1_May_24_2016_69341205.wav,21.688,21.985,K
164,102_marron1_May_24_2016_69341205.wav,21.985,22.226,K2
165,102_marron1_May_24_2016_69341205.wav,22.226,22.265,SIL
166,102_marron1_May_24_2016_69341205.wav,22.265,24.075,L
167,102_marron1_May_24_2016_69341205.wav,24.075,24.109,SIL
168,102_marron1_May_24_2016_69341205.wav,24.109,26.117,N
169,102_marron1_May_24_2016_69341205.wav,26.112,26.268,S
170,102_marron1_May_24_2016_69341205.wav,26.268,26.299,SIL
171,102_marron1_May_24_2016_69341205.wav,26.299,27.627,M
172,102_marron1_May_24_2016_69341205.wav,27.627,28.8932793187,D
173,102_marron1_May_24_2016_69341205.wav,28.8932793187,28.907,SIL
174,102_marron1_May_24_2016_69341205.wav,28.907,30.913,N
175,102_marron1_May_24_2016_69341205.wav,30.913,31.014,SIL
176,102_marron1_May_24_2016_69341205.wav,31.014,32.361,A
177,102_marron1_May_24_2016_69341205.wav,32.361,32.42,A
178,102_marron1_May_24_2016_69341205.wav,32.42,32.591,O
179,102_marron1_May_24_2016_69341205.wav,32.591,32.681,SIL
180,102_marron1_May_24_2016_69341205.wav,32.681,33.039,P
181,102_marron1_May_24_2016_69341205.wav,33.039,33.151,SIL
182,102_marron1_May_24_2016_69341205.wav,33.151,33.42,K
183,102_marron1_May_24_2016_69341205.wav,33.42,33.633,K2
