,wave,start,end,syll
1233,120_marron1_May_25_2016_57820836.wav,0.0,1.155,SIL
1234,120_marron1_May_25_2016_57820836.wav,1.155,1.474,call
1235,120_marron1_May_25_2016_57820836.wav,1.474,1.974,SIL
1236,120_marron1_May_25_2016_57820836.wav,1.974,3.041,Z
1237,120_marron1_May_25_2016_57820836.wav,3.041,3.091,SIL
1238,120_marron1_May_25_2016_57820836.wav,3.091,3.366,T
1239,120_marron1_May_25_2016_57820836.wav,3.366,3.596,SIL
1240,120_marron1_May_25_2016_57820836.wav,3.596,4.848,U
1241,120_marron1_May_25_2016_57820836.wav,4.848,4.907,J2
1242,120_marron1_May_25_2016_57820836.wav,4.907,5.036,SIL
1243,120_marron1_May_25_2016_57820836.wav,5.036,5.877,B1
1244,120_marron1_May_25_2016_57820836.wav,5.877,6.793,B2
1245,120_marron1_May_25_2016_57820836.wav,6.793,6.81,SIL
1246,120_marron1_May_25_2016_57820836.wav,6.81,7.323,Q
1247,120_marron1_May_25_2016_57820836.wav,7.323,7.354,SIL
1248,120_marron1_May_25_2016_57820836.wav,7.354,8.282,O
1249,120_marron1_May_25_2016_57820836.wav,8.282,8.354,SIL
1250,120_marron1_May_25_2016_57820836.wav,8.354,9.134,J1
1251,120_marron1_May_25_2016_57820836.wav,9.134,9.15,SIL
1252,120_marron1_May_25_2016_57820836.wav,9.15,10.316,L
1253,120_marron1_May_25_2016_57820836.wav,10.316,10.336,SIL
1254,120_marron1_May_25_2016_57820836.wav,10.336,10.9772335601,J2
1255,120_marron1_May_25_2016_57820836.wav,10.974,11.023,J2
1256,120_marron1_May_25_2016_57820836.wav,11.023,11.157,SIL
1257,120_marron1_May_25_2016_57820836.wav,11.157,11.922,B1
1258,120_marron1_May_25_2016_57820836.wav,11.922,11.939,SIL
1259,120_marron1_May_25_2016_57820836.wav,11.939,12.911,B2
1260,120_marron1_May_25_2016_57820836.wav,12.911,12.959,TRASH
1261,120_marron1_May_25_2016_57820836.wav,12.959,13.735,Q
1262,120_marron1_May_25_2016_57820836.wav,13.735,13.752,SIL
1263,120_marron1_May_25_2016_57820836.wav,13.752,13.951,O
1264,120_marron1_May_25_2016_57820836.wav,13.951,14.035,SIL
1265,120_marron1_May_25_2016_57820836.wav,14.035,14.383,P
1266,120_marron1_May_25_2016_57820836.wav,14.383,14.489,SIL
1267,120_marron1_May_25_2016_57820836.wav,14.489,14.691,K
1268,120_marron1_May_25_2016_57820836.wav,14.691,15.075,K2
1269,120_marron1_May_25_2016_57820836.wav,15.075,15.28,SIL
1270,120_marron1_May_25_2016_57820836.wav,15.28,15.521,Ci
1271,120_marron1_May_25_2016_57820836.wav,15.521,16.799,C
1272,120_marron1_May_25_2016_57820836.wav,16.799,16.972,H
1273,120_marron1_May_25_2016_57820836.wav,16.972,17.0,SIL
1274,120_marron1_May_25_2016_57820836.wav,17.0,17.289,E
1275,120_marron1_May_25_2016_57820836.wav,17.289,17.32,SIL
1276,120_marron1_May_25_2016_57820836.wav,17.32,18.189,R
