,wave,start,end,syll
10257,289_marron1_June_08_2016_23410266.wav,0.0,0.7834780784,SIL
10258,289_marron1_June_08_2016_23410266.wav,0.7834780784,1.0869378975,call
10259,289_marron1_June_08_2016_23410266.wav,1.0869378975,2.2731899175,SIL
10260,289_marron1_June_08_2016_23410266.wav,2.2731899175,2.618030621,call
10261,289_marron1_June_08_2016_23410266.wav,2.618030621,3.1835693748,SIL
10262,289_marron1_June_08_2016_23410266.wav,3.1835693748,4.1932629547,Z
10263,289_marron1_June_08_2016_23410266.wav,4.1932629547,4.287059626,SIL
10264,289_marron1_June_08_2016_23410266.wav,4.287059626,4.5436211094,Ci
10265,289_marron1_June_08_2016_23410266.wav,4.5436211094,5.3657213466,C
10266,289_marron1_June_08_2016_23410266.wav,5.3657213466,5.7850476421,H
10267,289_marron1_June_08_2016_23410266.wav,5.7850476421,6.505075031,E
10268,289_marron1_June_08_2016_23410266.wav,6.505075031,6.5574908179,SIL
10269,289_marron1_June_08_2016_23410266.wav,6.5574908179,7.4568353727,R
10270,289_marron1_June_08_2016_23410266.wav,7.4568353727,7.5258035134,SIL
10271,289_marron1_June_08_2016_23410266.wav,7.5258035134,7.5727018491,J1
10272,289_marron1_June_08_2016_23410266.wav,7.5727018491,8.2292785486,J2
10273,289_marron1_June_08_2016_23410266.wav,8.2292785486,8.6623984722,J2
10274,289_marron1_June_08_2016_23410266.wav,8.6623984722,8.7092968078,J2
10275,289_marron1_June_08_2016_23410266.wav,8.7092968078,8.841715638,SIL
10276,289_marron1_June_08_2016_23410266.wav,8.841715638,9.6472635214,B1
10277,289_marron1_June_08_2016_23410266.wav,9.6472635214,10.65143965,B2
10278,289_marron1_June_08_2016_23410266.wav,10.65143965,11.7611370339,Q
10279,289_marron1_June_08_2016_23410266.wav,11.7611370339,12.1059777374,H
10280,289_marron1_June_08_2016_23410266.wav,12.1059777374,12.84738525,E
10281,289_marron1_June_08_2016_23410266.wav,12.84738525,12.8998010369,SIL
10282,289_marron1_June_08_2016_23410266.wav,12.8998010369,14.1798497283,N
10283,289_marron1_June_08_2016_23410266.wav,14.1798497283,14.3508907173,S
10284,289_marron1_June_08_2016_23410266.wav,14.3508907173,14.3729605223,SIL
10285,289_marron1_June_08_2016_23410266.wav,14.3729605223,15.4102413584,M
10286,289_marron1_June_08_2016_23410266.wav,15.4102413584,16.8806421182,D
10287,289_marron1_June_08_2016_23410266.wav,16.8806421182,16.8916770207,SIL
10288,289_marron1_June_08_2016_23410266.wav,16.8916770207,17.0709941865,I
10289,289_marron1_June_08_2016_23410266.wav,17.0709941865,17.1372036016,SIL
10290,289_marron1_June_08_2016_23410266.wav,17.1372036016,18.1910367915,A
10291,289_marron1_June_08_2016_23410266.wav,18.1910367915,18.2517287554,SIL
10292,289_marron1_June_08_2016_23410266.wav,18.2517287554,18.4282871956,O
10293,289_marron1_June_08_2016_23410266.wav,18.4282871956,18.4862204337,SIL
10294,289_marron1_June_08_2016_23410266.wav,18.4862204337,18.8117500579,P
10295,289_marron1_June_08_2016_23410266.wav,18.8117500579,18.9248578086,SIL
10296,289_marron1_June_08_2016_23410266.wav,18.9248578086,19.2200414508,K
10297,289_marron1_June_08_2016_23410266.wav,19.2200414508,19.2393525302,SIL
10298,289_marron1_June_08_2016_23410266.wav,19.2393525302,19.2807334146,TRASH
10299,289_marron1_June_08_2016_23410266.wav,19.2807334146,20.0669702186,V
10300,289_marron1_June_08_2016_23410266.wav,20.0669702186,20.1662843412,SIL
10301,289_marron1_June_08_2016_23410266.wav,20.1662843412,20.9083815352,J1
10302,289_marron1_June_08_2016_23410266.wav,20.9083815352,21.1318383111,J2
10303,289_marron1_June_08_2016_23410266.wav,21.1318383111,21.2035651774,J2
10304,289_marron1_June_08_2016_23410266.wav,21.2035651774,21.3001205744,SIL
10305,289_marron1_June_08_2016_23410266.wav,21.3001205744,22.1332557141,B1
10306,289_marron1_June_08_2016_23410266.wav,22.1332557141,22.9581146769,B2
10307,289_marron1_June_08_2016_23410266.wav,22.9581146769,23.0022542869,SIL
10308,289_marron1_June_08_2016_23410266.wav,23.0022542869,24.2464395452,N
