,wave,start,end,syll
20474,470_marron1_May_23_2016_67423776.wav,0.0,0.905,SIL
20475,470_marron1_May_23_2016_67423776.wav,0.905,1.18,call
20476,470_marron1_May_23_2016_67423776.wav,1.18,3.028,SIL
20477,470_marron1_May_23_2016_67423776.wav,3.028,4.27,A
20478,470_marron1_May_23_2016_67423776.wav,4.27,5.844,X
20479,470_marron1_May_23_2016_67423776.wav,5.844,6.432,X
20480,470_marron1_May_23_2016_67423776.wav,6.432,6.482,SIL
20481,470_marron1_May_23_2016_67423776.wav,6.482,7.086,O
20482,470_marron1_May_23_2016_67423776.wav,7.086,7.185,SIL
20483,470_marron1_May_23_2016_67423776.wav,7.185,7.505,P
20484,470_marron1_May_23_2016_67423776.wav,7.505,7.62,SIL
20485,470_marron1_May_23_2016_67423776.wav,7.62,7.872,K
20486,470_marron1_May_23_2016_67423776.wav,7.872,8.235,K2
20487,470_marron1_May_23_2016_67423776.wav,8.235,8.308,SIL
20488,470_marron1_May_23_2016_67423776.wav,8.308,8.935,L
20489,470_marron1_May_23_2016_67423776.wav,8.935,9.85,J2
20490,470_marron1_May_23_2016_67423776.wav,9.85,10.03,SIL
20491,470_marron1_May_23_2016_67423776.wav,10.03,10.866,B1
20492,470_marron1_May_23_2016_67423776.wav,10.866,10.894,SIL
20493,470_marron1_May_23_2016_67423776.wav,10.894,12.062,B2
20494,470_marron1_May_23_2016_67423776.wav,12.059,13.199,Q
20495,470_marron1_May_23_2016_67423776.wav,13.199,13.248,SIL
20496,470_marron1_May_23_2016_67423776.wav,13.248,13.441,O
20497,470_marron1_May_23_2016_67423776.wav,13.441,13.495,SIL
20498,470_marron1_May_23_2016_67423776.wav,13.495,13.819,P
20499,470_marron1_May_23_2016_67423776.wav,13.819,13.938,SIL
20500,470_marron1_May_23_2016_67423776.wav,13.938,14.148,K
20501,470_marron1_May_23_2016_67423776.wav,14.148,14.203,SIL
20502,470_marron1_May_23_2016_67423776.wav,14.203,15.63,V
20503,470_marron1_May_23_2016_67423776.wav,15.63,15.72,SIL
20504,470_marron1_May_23_2016_67423776.wav,15.72,16.623,O
20505,470_marron1_May_23_2016_67423776.wav,16.623,16.699,SIL
20506,470_marron1_May_23_2016_67423776.wav,16.699,17.505,J1
