,wave,start,end,syll
2850,145_marron1_May_26_2016_43707713.wav,0.0,1.3382921948,SIL
2851,145_marron1_May_26_2016_43707713.wav,1.3382921948,1.6895938959,call
2852,145_marron1_May_26_2016_43707713.wav,1.6895938959,2.4423832555,SIL
2853,145_marron1_May_26_2016_43707713.wav,2.4423832555,3.7053965143,Z
2854,145_marron1_May_26_2016_43707713.wav,3.7053965143,3.8280732989,SIL
2855,145_marron1_May_26_2016_43707713.wav,3.8280732989,4.0734268679,Ci
2856,145_marron1_May_26_2016_43707713.wav,4.0734268679,5.1022389927,C
2857,145_marron1_May_26_2016_43707713.wav,5.1022389927,5.5343958472,H
2858,145_marron1_May_26_2016_43707713.wav,5.5343958472,6.3987095564,E
2859,145_marron1_May_26_2016_43707713.wav,6.3987095564,6.423802535,SIL
2860,145_marron1_May_26_2016_43707713.wav,6.423802535,6.9563313042,R
2861,145_marron1_May_26_2016_43707713.wav,6.9563313042,7.0622794363,SIL
2862,145_marron1_May_26_2016_43707713.wav,7.0622794363,7.1096772849,J1
2863,145_marron1_May_26_2016_43707713.wav,7.0985248499,8.0632104736,J1
2864,145_marron1_May_26_2016_43707713.wav,8.0632104736,9.2788258839,J2
2865,145_marron1_May_26_2016_43707713.wav,9.2788258839,9.4265956471,SIL
2866,145_marron1_May_26_2016_43707713.wav,9.4265956471,10.2072660941,B1
2867,145_marron1_May_26_2016_43707713.wav,10.2072660941,10.218418529,SIL
2868,145_marron1_May_26_2016_43707713.wav,10.218418529,11.1357063042,B2
2869,145_marron1_May_26_2016_43707713.wav,11.1357063042,11.180316044,SIL
2870,145_marron1_May_26_2016_43707713.wav,11.180316044,11.7184210307,R
2871,145_marron1_May_26_2016_43707713.wav,11.7184210307,11.8299453803,SIL
2872,145_marron1_May_26_2016_43707713.wav,11.8299453803,11.8634026851,J1
2873,145_marron1_May_26_2016_43707713.wav,11.8550383589,12.7360807205,J1
2874,145_marron1_May_26_2016_43707713.wav,12.7360807205,14.9052293195,L
2875,145_marron1_May_26_2016_43707713.wav,14.9052293195,16.1821831221,N
2876,145_marron1_May_26_2016_43707713.wav,16.1821831221,16.332740994,S
2877,145_marron1_May_26_2016_43707713.wav,16.332740994,16.3522577552,SIL
2878,145_marron1_May_26_2016_43707713.wav,16.3522577552,17.6598807538,M
2879,145_marron1_May_26_2016_43707713.wav,17.6598807538,19.3494746498,D
2880,145_marron1_May_26_2016_43707713.wav,19.3494746498,19.421965477,SIL
2881,145_marron1_May_26_2016_43707713.wav,19.421965477,19.5892520013,I
2882,145_marron1_May_26_2016_43707713.wav,19.5892520013,19.7035644596,SIL
2883,145_marron1_May_26_2016_43707713.wav,19.7035644596,20.9414847398,A
2884,145_marron1_May_26_2016_43707713.wav,20.9414847398,21.0028231321,A
2885,145_marron1_May_26_2016_43707713.wav,21.0028231321,21.7165789693,X
2886,145_marron1_May_26_2016_43707713.wav,21.7165789693,21.7333076217,SIL
2887,145_marron1_May_26_2016_43707713.wav,21.7333076217,23.307195005,N
2888,145_marron1_May_26_2016_43707713.wav,23.2834960807,23.4702993662,S
2889,145_marron1_May_26_2016_43707713.wav,23.4702993662,23.5093328886,SIL
2890,145_marron1_May_26_2016_43707713.wav,23.5093328886,24.8141677785,M
2891,145_marron1_May_26_2016_43707713.wav,24.8141677785,26.0632404937,D
2892,145_marron1_May_26_2016_43707713.wav,26.0632404937,26.1524599733,SIL
2893,145_marron1_May_26_2016_43707713.wav,26.1524599733,26.3448394763,I
2894,145_marron1_May_26_2016_43707713.wav,26.3448394763,26.4089659773,SIL
2895,145_marron1_May_26_2016_43707713.wav,26.4089659773,27.3011607738,A
2896,145_marron1_May_26_2016_43707713.wav,27.3011607738,27.3374061875,SIL
2897,145_marron1_May_26_2016_43707713.wav,27.3374061875,27.4907521681,O
2898,145_marron1_May_26_2016_43707713.wav,27.4907521681,27.6078527351,SIL
2899,145_marron1_May_26_2016_43707713.wav,27.6078527351,27.9591544363,P
