,wave,start,end,syll
13857,354_marron1_June_12_2016_23656030.wav,0.0,0.933,SIL
13858,354_marron1_June_12_2016_23656030.wav,0.933,1.258,call
13859,354_marron1_June_12_2016_23656030.wav,1.258,2.299,SIL
13860,354_marron1_June_12_2016_23656030.wav,2.299,2.66,call
13861,354_marron1_June_12_2016_23656030.wav,2.66,3.149,SIL
13862,354_marron1_June_12_2016_23656030.wav,3.149,3.814,Z
13863,354_marron1_June_12_2016_23656030.wav,3.814,3.91,SIL
13864,354_marron1_June_12_2016_23656030.wav,3.91,4.162,Ci
13865,354_marron1_June_12_2016_23656030.wav,4.162,4.181,SIL
13866,354_marron1_June_12_2016_23656030.wav,4.181,4.984,C
13867,354_marron1_June_12_2016_23656030.wav,4.984,5.467,H
13868,354_marron1_June_12_2016_23656030.wav,5.467,5.5,SIL
13869,354_marron1_June_12_2016_23656030.wav,5.5,6.383,E
13870,354_marron1_June_12_2016_23656030.wav,6.383,6.427,SIL
13871,354_marron1_June_12_2016_23656030.wav,6.427,6.919,R
13872,354_marron1_June_12_2016_23656030.wav,6.919,6.999,SIL
13873,354_marron1_June_12_2016_23656030.wav,6.999,7.181,O
13874,354_marron1_June_12_2016_23656030.wav,7.181,7.244,SIL
13875,354_marron1_June_12_2016_23656030.wav,7.244,7.573,P
13876,354_marron1_June_12_2016_23656030.wav,7.573,7.702,SIL
13877,354_marron1_June_12_2016_23656030.wav,7.702,7.887,K
13878,354_marron1_June_12_2016_23656030.wav,7.887,8.337,K2
