,wave,start,end,syll
8777,255_marron1_June_06_2016_32258344.wav,0.0,2.6617077299,SIL
8778,255_marron1_June_06_2016_32258344.wav,2.6617077299,4.0766881086,Z
8779,255_marron1_June_06_2016_32258344.wav,4.0766881086,4.1180618039,SIL
8780,255_marron1_June_06_2016_32258344.wav,4.1180618039,4.7579749577,T
8781,255_marron1_June_06_2016_32258344.wav,4.7579749577,4.9427774633,SIL
8782,255_marron1_June_06_2016_32258344.wav,4.9427774633,6.2060542926,U
8783,255_marron1_June_06_2016_32258344.wav,6.2060542926,6.6335824772,L
8784,255_marron1_June_06_2016_32258344.wav,6.6335824772,7.6458588885,J2
8785,255_marron1_June_06_2016_32258344.wav,7.6458588885,7.6486171348,SIL
8786,255_marron1_June_06_2016_32258344.wav,7.6486171348,7.6982655692,J2
8787,255_marron1_June_06_2016_32258344.wav,7.6982655692,7.8058371769,SIL
8788,255_marron1_June_06_2016_32258344.wav,7.8058371769,8.7326079513,B1
8789,255_marron1_June_06_2016_32258344.wav,8.7326079513,9.5849060741,J2
8790,255_marron1_June_06_2016_32258344.wav,9.5849060741,9.6097302913,SIL
8791,255_marron1_June_06_2016_32258344.wav,9.6097302913,11.7639206924,N
8792,255_marron1_June_06_2016_32258344.wav,11.7639206924,11.8411515903,SIL
8793,255_marron1_June_06_2016_32258344.wav,11.8411515903,13.0823624488,A
8794,255_marron1_June_06_2016_32258344.wav,13.0823624488,13.0989119269,SIL
8795,255_marron1_June_06_2016_32258344.wav,13.0989119269,13.303022157,O
